essential,gene
True,RT_12118
True,RT_11610
True,RT_12815
True,RT_16528
True,RT_11977
True,RT_11899
True,RT_12649
True,RT_13140
True,RT_12007
True,RT_16837
True,RT_8607
True,RT_14126
True,RT_15973
True,RT_16775
True,RT_9262
True,RT_13553
True,RT_15908
True,RT_8671
True,RT_11910
True,RT_15848
True,RT_11973
True,RT_15237
True,RT_13053
True,RT_14803
True,RT_12116
True,RT_16203
True,RT_14709
True,RT_10629
True,RT_8909
True,RT_12912
True,RT_12475
True,RT_13729
True,RT_12927
True,RT_15685
True,RT_9910
True,RT_10602
True,RT_10007
True,RT_9730
True,RT_12353
True,RT_14971
True,RT_8444
True,RT_16833
True,RT_9782
True,RT_16681
True,RT_15504
True,RT_15631
True,RT_15533
True,RT_14258
True,RT_9176
True,RT_10285
True,RT_11151
True,RT_8889
True,RT_10802
True,RT_13842
True,RT_12581
True,RT_15998
True,RT_16592
True,RT_11025
True,RT_9888
True,RT_14662
True,RT_11958
True,RT_16104
True,RT_9167
True,RT_16264
True,RT_13492
True,RT_16097
True,RT_15309
True,RT_12080
True,RT_10206
True,RT_16591
True,RT_14078
True,RT_14037
True,RT_15287
True,RT_14031
True,RT_16475
True,RT_14912
True,RT_16641
True,RT_9574
True,RT_11682
True,RT_12551
True,RT_11752
True,RT_11290
